ULP,LEMBAR,RPPTL,BULAN,TAHUN
DARMO PERMAI,10149,3813489555,JANUARI,2023
DUKUH KUPANG,6702,2424982520,JANUARI,2023
GEDANGAN,10805,3226058285,JANUARI,2023
NGAGEL,8260,3590045618,JANUARI,2023
RUNGKUT,9007,3853234047,JANUARI,2023
DARMO PERMAI,10351,3723516125,FEBRUARI,2023
DUKUH KUPANG,6826,2679679836,FEBRUARI,2023
GEDANGAN,10821,3694121544,FEBRUARI,2023
NGAGEL,8567,3510989847,FEBRUARI,2023
RUNGKUT,9106,4199898123,FEBRUARI,2023
DARMO PERMAI,10058,3284620255,MARET,2023
DUKUH KUPANG,6866,2084677757,MARET,2023
GEDANGAN,10878,2842597897,MARET,2023
NGAGEL,8119,2865938614,MARET,2023
RUNGKUT,9065,3440956952,MARET,2023
DARMO PERMAI,9097,3690931754,APRIL,2023
DUKUH KUPANG,6260,2498656569,APRIL,2023
GEDANGAN,9773,3066107415,APRIL,2023
NGAGEL,7307,3473977526,APRIL,2023
RUNGKUT,7968,3445609952,APRIL,2023
DARMO PERMAI,10050,3775720331,MEI,2023
DUKUH KUPANG,6749,2323121366,MEI,2023
GEDANGAN,10752,3154800841,MEI,2023
NGAGEL,8179,3351255193,MEI,2023
RUNGKUT,8955,3527088254,MEI,2023
DARMO PERMAI,9477,3571239413,DESEMBER,2022
DUKUH KUPANG,6719,2242742911,DESEMBER,2022
GEDANGAN,10651,3206412131,DESEMBER,2022
NGAGEL,8241,3535126592,DESEMBER,2022
RUNGKUT,8832,3766064976,DESEMBER,2022
DARMO PERMAI,10685,4453021330,NOVEMBER,2022
DUKUH KUPANG,7512,2707820624,NOVEMBER,2022
GEDANGAN,11926,3798816834,NOVEMBER,2022
NGAGEL,9024,4094882904,NOVEMBER,2022
RUNGKUT,9525,4273974446,NOVEMBER,2022
DARMO PERMAI,10194,3846181104,OKTOBER,2022
DUKUH KUPANG,6828,2452167472,OKTOBER,2022
GEDANGAN,10696,3377477169,OKTOBER,2022
NGAGEL,8167,3387047409,OKTOBER,2022
RUNGKUT,8638,3729206431,OKTOBER,2022
DARMO PERMAI,9699,3639694267,SEPTEMBER,2022
DUKUH KUPANG,6656,2411185649,SEPTEMBER,2022
GEDANGAN,10503,3351171283,SEPTEMBER,2022
NGAGEL,7929,3653992393,SEPTEMBER,2022
RUNGKUT,8380,3843359591,SEPTEMBER,2022
DARMO PERMAI,10534,3740365019,AGUSTUS,2022
DUKUH KUPANG,7042,2465832077,AGUSTUS,2022
GEDANGAN,11300,4243529429,AGUSTUS,2022
NGAGEL,8499,3639260449,AGUSTUS,2022
RUNGKUT,8856,3942487030,AGUSTUS,2022
DARMO PERMAI,10712,3637220456,JULI,2022
DUKUH KUPANG,6856,2225690632,JULI,2022
GEDANGAN,11017,3298402240,JULI,2022
NGAGEL,8759,3542810388,JULI,2022
RUNGKUT,9534,3827318118,JULI,2022
DARMO PERMAI,10297,3571116892,JUNI,2022
DUKUH KUPANG,6721,2566665781,JUNI,2022
GEDANGAN,11394,3450662594,JUNI,2022
NGAGEL,8330,3472496719,JUNI,2022
RUNGKUT,9490,4017559811,JUNI,2022
